id,tra,tok,wor,add,cur,pre,dif,cre,upd
10791769,88731824,0xcfd1ea4100e30ca3ce22c99e24b5e54a00aa946b,7354,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,10000000000000000000000000000,0,10000000000000000000000000000,"2024-04-19T10:45:27.201Z","2024-04-19T10:45:27.201Z"
10791817,88732150,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x3c744b430a53432a2ea9472008e38b0f2575e05e,0,60000000006666666666666666666666666666666666666666,-60000000006666666666666666666666666666666666666666,"2024-04-19T11:37:04.298Z","2024-04-19T11:37:04.298Z"
10791818,88732150,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x000000000000000000000000000000000000dead,60000000006666666666666666666666666666666666666666,0,60000000006666666666666666666666666666666666666666,"2024-04-19T11:37:04.305Z","2024-04-19T11:37:04.305Z"
10791833,88732175,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,666666660000000000000000000000,666666666666000000000000000000,-6666000000000000000000,"2024-04-19T11:41:31.188Z","2024-04-19T11:41:31.188Z"
10791834,88732175,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xf69c4f4d14bb050d62ad4e836f3e5e5217e7fc9c,6666000000000000000000,0,6666000000000000000000,"2024-04-19T11:41:31.189Z","2024-04-19T11:41:31.189Z"
10791842,88732203,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x451ad094284d1059c0cafcc6f3fad1759ab1939c,6666000000000000000000,0,6666000000000000000000,"2024-04-19T11:44:26.801Z","2024-04-19T11:44:26.801Z"
10791841,88732203,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,666666653334000000000000000000,666666660000000000000000000000,-6666000000000000000000,"2024-04-19T11:44:26.800Z","2024-04-19T11:44:26.800Z"
10791856,88732516,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x000000000000000000000000000000000000dead,66666666666666666666000000000000666666666666666666,60000000006666666666666666666666666666666666666666,6666666659999999999333333333334000000000000000000,"2024-04-19T11:53:31.895Z","2024-04-19T11:53:31.895Z"
10791855,88732516,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,0,6666666659999999999333333333334000000000000000000,-6666666659999999999333333333334000000000000000000,"2024-04-19T11:53:31.893Z","2024-04-19T11:53:31.893Z"
10791857,88732615,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,665999986668000000000000000000,666666653334000000000000000000,-666666666000000000000000000,"2024-04-19T11:54:21.758Z","2024-04-19T11:54:21.758Z"
10791858,88732615,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x7d7cc2abeb8256d11e9ec63c13782e77300c7e30,666666666000000000000000000,0,666666666000000000000000000,"2024-04-19T11:54:21.761Z","2024-04-19T11:54:21.761Z"
10792577,88734497,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x394f556583dc1bb2142576ccf9825daefac0676d,6666000000000000000000,0,6666000000000000000000,"2024-04-19T14:02:52.355Z","2024-04-19T14:02:52.355Z"
10792576,88734497,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,665999980002000000000000000000,665999986668000000000000000000,-6666000000000000000000,"2024-04-19T14:02:52.353Z","2024-04-19T14:02:52.353Z"
10792713,88735167,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0xb00b45b592c3ae69f0e944835b9b1a4774040be7,665999973336000000000000000000,665999980002000000000000000000,-6666000000000000000000,"2024-04-19T15:08:04.808Z","2024-04-19T15:08:04.808Z"
10792714,88735167,0x73d53c0e08baa93362c4825b836dbce45855abf4,7354,0x1d362f7eb50f02691fe7f448cb24711091d2cea3,6666000000000000000000,0,6666000000000000000000,"2024-04-19T15:08:04.814Z","2024-04-19T15:08:04.814Z"
